ID,Household income,Household size,Rainfall,Ave temp dry,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay,tA,Wd,td,t2,A2,W2,d2,t3,A3,W3,d3,t4,A4,W4,d4
107,75000,7,3.32,29.1,30,164,6,180,200,250,6000,41000,4920,900,40000,62500,26896,27000,8000000,15625000,4410944,810000,1600000000,3906250000,723394816
108,55000,8,3.32,29.1,40,108.26,2,160,285,330,11400,35725.8,4330.4,1600,81225,108900,11720.2276,64000,23149125,35937000,1268831.84,2560000,6597500625,11859210000,137363735
109,95000,9,3.32,29.1,20,113.89,2,200,210,260,4200,29611.4,2277.8,400,44100,67600,12970.9321,8000,9261000,17576000,1477259.457,160000,1944810000,4569760000,168245079.5
110,75000,7,3.32,29.1,30,183.35,1,180,330,380,9900,69673,5500.5,900,108900,144400,33617.2225,27000,35937000,54872000,6163717.745,810000,11859210000,20851360000,1130117649
111,85000,9,3.32,29.1,20,226.74,2,200,165,210,3300,47615.4,4534.8,400,27225,44100,51411.0276,8000,4492125,9261000,11656936.4,160000,741200625,1944810000,2643093759
112,85000,7,3.32,29.1,30,283.47,1,180,240,290,7200,82206.3,8504.1,900,57600,84100,80355.2409,27000,13824000,24389000,22778300.14,810000,3317760000,7072810000,6456964740
113,85000,6,3.32,29.1,35,261.69,2,140,360,410,12600,107292.9,9159.15,1225,129600,168100,68481.6561,42875,46656000,68921000,17920964.58,1500625,16796160000,28257610000,4689737222
114,85000,7,3.32,29.1,30,118.68,2,180,405,450,12150,53406,3560.4,900,164025,202500,14084.9424,27000,66430125,91125000,1671600.964,810000,26904200625,41006250000,198385602.4
115,85000,8,3.32,29.1,40,33.53,1,160,450,500,18000,16765,1341.2,1600,202500,250000,1124.2609,64000,91125000,125000000,37696.46798,2560000,41006250000,62500000000,1263962.571
116,85000,8,3.32,29.1,40,142.44,2,160,210,260,8400,37034.4,5697.6,1600,44100,67600,20289.1536,64000,9261000,17576000,2889987.039,2560000,1944810000,4569760000,411649753.8
117,85000,7,3.32,29.1,30,81.5,0,180,220,270,6600,22005,2445,900,48400,72900,6642.25,27000,10648000,19683000,541343.375,810000,2342560000,5314410000,44119485.06
118,85000,8,3.32,29.1,40,88.28,2,160,285,330,11400,29132.4,3531.2,1600,81225,108900,7793.3584,64000,23149125,35937000,687997.6796,2560000,6597500625,11859210000,60736435.15
119,100000,6,3.32,29.1,20,199.4,5,220,180,230,3600,45862,3988,400,32400,52900,39760.36,8000,5832000,12167000,7928215.784,160000,1049760000,2798410000,1580886227
120,80000,9,3.32,29.1,20,172,7,200,165,210,3300,36120,3440,400,27225,44100,29584,8000,4492125,9261000,5088448,160000,741200625,1944810000,875213056
121,40000,7,3.32,29.1,45,147.49,3,100,285,330,12825,48671.7,6637.05,2025,81225,108900,21753.3001,91125,23149125,35937000,3208394.232,4100625,6597500625,11859210000,473206065.2
122,50000,7,3.32,29.1,50,57.01,1,120,360,410,18000,23374.1,2850.5,2500,129600,168100,3250.1401,125000,46656000,68921000,185290.4871,6250000,16796160000,28257610000,10563410.67
123,100000,6,3.32,29.1,20,56.75,2,220,480,300,9600,17025,1135,400,230400,90000,3220.5625,8000,110592000,27000000,182766.9219,160000,53084160000,8100000000,10372022.82
124,100000,7,3.32,29.1,20,145.91,8,220,220,270,4400,39395.7,2918.2,400,48400,72900,21289.7281,8000,10648000,19683000,3106384.227,160000,2342560000,5314410000,453252522.6
125,40000,7,3.32,29.1,60,55.01,1,100,405,450,24300,24754.5,3300.6,3600,164025,202500,3026.1001,216000,66430125,91125000,166465.7665,12960000,26904200625,41006250000,9157281.815
126,100000,6,3.32,29.1,20,88.62,4,220,350,400,7000,35448,1772.4,400,122500,160000,7853.5044,8000,42875000,64000000,695977.5599,160000,15006250000,25600000000,61677531.36
127,60000,6,3.32,29.1,40,97.74,3,140,480,300,19200,29322,3909.6,1600,230400,90000,9553.1076,64000,110592000,27000000,933720.7368,2560000,53084160000,8100000000,91261864.82
128,40000,7,3.32,29.1,60,32.02,1,100,450,500,27000,16010,1921.2,3600,202500,250000,1025.2804,216000,91125000,125000000,32829.47841,12960000,41006250000,62500000000,1051199.899
129,95000,9,3.32,29.1,20,79.88,0,200,240,290,4800,23165.2,1597.6,400,57600,84100,6380.8144,8000,13824000,24389000,509699.4543,160000,3317760000,7072810000,40714792.41
130,45000,6,3.32,29.1,40,95.52,4,140,480,300,19200,28656,3820.8,1600,230400,90000,9124.0704,64000,110592000,27000000,871531.2046,2560000,53084160000,8100000000,83248660.66
131,85000,7,3.32,29.1,30,56.01,1,180,405,450,12150,25204.5,1680.3,900,164025,202500,3137.1201,27000,66430125,91125000,175710.0968,810000,26904200625,41006250000,9841522.522
132,60000,6,3.32,29.1,40,94.37,1,140,450,500,18000,47185,3774.8,1600,202500,250000,8905.6969,64000,91125000,125000000,840430.6165,2560000,41006250000,62500000000,79311437.27
133,75000,7,3.32,29.1,30,23.85,1,180,480,300,14400,7155,715.5,900,230400,90000,568.8225,27000,110592000,27000000,13566.41663,810000,53084160000,8100000000,323559.0365
134,80000,7,3.32,29.1,30,74.17,1,180,300,350,9000,25959.5,2225.1,900,90000,122500,5501.1889,27000,27000000,42875000,408023.1807,810000,8100000000,15006250000,30263079.31
135,95000,9,3.32,29.1,20,79.2,1,220,240,290,4800,22968,1584,400,57600,84100,6272.64,8000,13824000,24389000,496793.088,160000,3317760000,7072810000,39346012.57
136,95000,9,3.32,29.1,20,30.59,1,200,330,380,6600,11624.2,611.8,400,108900,144400,935.7481,8000,35937000,54872000,28624.53438,160000,11859210000,20851360000,875624.5067
137,95000,7,3.32,29.1,20,67.08,2,200,450,500,9000,33540,1341.6,400,202500,250000,4499.7264,8000,91125000,125000000,301841.6469,160000,41006250000,62500000000,20247537.67
138,95000,8,3.32,29.1,40,69.35,2,160,230,280,9200,19418,2774,1600,52900,78400,4809.4225,64000,12167000,21952000,333533.4504,2560000,2798410000,6146560000,23130544.78
139,95000,6,3.32,29.1,40,49.48,1,140,600,450,24000,22266,1979.2,1600,360000,202500,2448.2704,64000,216000000,91125000,121140.4194,2560000,1.30E+11,41006250000,5994027.952
140,95000,6,3.32,29.1,40,45.88,0,140,480,300,19200,13764,1835.2,1600,230400,90000,2104.9744,64000,110592000,27000000,96576.22547,2560000,53084160000,8100000000,4430917.225
141,95000,7,3.32,29.1,30,93.91,3,180,360,410,10800,38503.1,2817.3,900,129600,168100,8819.0881,27000,46656000,68921000,828200.5635,810000,16796160000,28257610000,77776314.92
142,75000,9,3.32,29.1,20,10.77,0,200,280,330,5600,3554.1,215.4,400,78400,108900,115.9929,8000,21952000,35937000,1249.243533,160000,6146560000,11859210000,13454.35285
143,95000,9,3.32,29.1,20,60.44,2,200,285,330,5700,19945.2,1208.8,400,81225,108900,3652.9936,8000,23149125,35937000,220786.9332,160000,6597500625,11859210000,13344362.24
144,60000,6,3.32,29.1,40,35.44,1,140,720,380,28800,13467.2,1417.6,1600,518400,144400,1255.9936,64000,373248000,54872000,44512.41318,2560000,2.69E+11,20851360000,1577519.923
145,75000,7,3.32,29.1,30,59.51,0,180,450,500,13500,29755,1785.3,900,202500,250000,3541.4401,27000,91125000,125000000,210751.1004,810000,41006250000,62500000000,12541797.98
146,40000,7,3.32,29.1,60,99.76,1,100,180,230,10800,22944.8,5985.6,3600,32400,52900,9952.0576,216000,5832000,12167000,992817.2662,12960000,1049760000,2798410000,99043450.47
147,65000,8,3.32,29.1,40,89.47,2,160,285,330,11400,29525.1,3578.8,1600,81225,108900,8004.8809,64000,23149125,35937000,716196.6941,2560000,6597500625,11859210000,64078118.22
148,85000,9,3.32,29.1,20,57.71,1,200,300,350,6000,20198.5,1154.2,400,90000,122500,3330.4441,8000,27000000,42875000,192199.929,160000,8100000000,15006250000,11091857.9
149,40000,7,3.32,29.1,60,229.59,8,100,120,170,7200,39030.3,13775.4,3600,14400,28900,52711.5681,216000,1728000,4913000,12102048.92,12960000,207360000,835210000,2778509412
