ID,Household income,Household size,Rainfall,Ave temp dry,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay,tA,Wd,td,t2,A2,W2,d2
205,65000,8,3.32,29.1,40,87.14,1,160,300,350,12000,30499,3485.6,1600,90000,122500,7593.3796
206,60000,6,3.32,29.1,40,113.88,4,140,600,450,24000,51246,4555.2,1600,360000,202500,12968.6544
207,75000,7,3.32,29.1,30,137.06,2,180,450,500,13500,68530,4111.8,900,202500,250000,18785.4436
208,105000,7,3.32,29.1,20,132.09,4,200,380,430,7600,56798.7,2641.8,400,144400,184900,17447.7681
209,45000,6,3.32,29.1,40,55.07,3,140,765,280,30600,15419.6,2202.8,1600,585225,78400,3032.7049
210,80000,7,3.32,29.1,30,85.29,4,180,525,480,15750,40939.2,2558.7,900,275625,230400,7274.3841
211,80000,7,3.32,29.1,30,27.07,1,180,600,450,18000,12181.5,812.1,900,360000,202500,732.7849
212,95000,9,3.32,29.1,20,146.49,2,200,165,210,3300,30762.9,2929.8,400,27225,44100,21459.3201
213,85000,9,3.32,29.1,35,131.61,2,200,270,320,9450,42115.2,4606.35,1225,72900,102400,17321.1921
214,40000,7,3.32,29.1,60,152.63,1,100,240,290,14400,44262.7,9157.8,3600,57600,84100,23295.9169
215,100000,7,3.32,29.1,30,76.69,1,180,310,360,9300,27608.4,2300.7,900,96100,129600,5881.3561
216,95000,9,3.32,29.1,20,105.72,2,200,210,260,4200,27487.2,2114.4,400,44100,67600,11176.7184
217,95000,9,3.32,29.1,20,90.44,2,200,380,430,7600,38889.2,1808.8,400,144400,184900,8179.3936
218,95000,9,3.32,29.1,20,39.66,0,200,285,330,5700,13087.8,793.2,400,81225,108900,1572.9156
219,95000,7,3.32,29.1,50,79.4,2,120,450,500,22500,39700,3970,2500,202500,250000,6304.36
220,95000,9,3.32,29.1,50,118.98,1,200,165,210,8250,24985.8,5949,2500,27225,44100,14156.2404
221,95000,7,3.32,29.1,30,144.81,0,180,240,290,7200,41994.9,4344.3,900,57600,84100,20969.9361
222,50000,7,3.32,29.1,50,85.98,3,120,360,410,18000,35251.8,4299,2500,129600,168100,7392.5604
223,75000,7,3.32,29.1,30,35.47,1,180,525,480,15750,17025.6,1064.1,900,275625,230400,1258.1209
224,80000,7,3.32,29.1,30,105.39,3,180,285,330,8550,34778.7,3161.7,900,81225,108900,11107.0521
225,75000,7,3.32,29.1,30,55.11,0,180,570,280,17100,15430.8,1653.3,900,324900,78400,3037.1121
226,80000,7,3.32,29.1,30,104.04,0,180,330,380,9900,39535.2,3121.2,900,108900,144400,10824.3216
227,80000,9,3.32,29.1,20,150.88,4,200,165,210,3300,31684.8,3017.6,400,27225,44100,22764.7744
228,80000,7,3.32,29.1,30,188.67,5,180,300,350,9000,66034.5,5660.1,900,90000,122500,35596.3689
229,100000,6,3.32,29.1,20,107.45,0,220,360,410,7200,44054.5,2149,400,129600,168100,11545.5025
230,55000,6,3.32,29.1,40,156.85,2,140,360,410,14400,64308.5,6274,1600,129600,168100,24601.9225
231,60000,6,3.32,29.1,40,78.11,1,140,480,300,19200,23433,3124.4,1600,230400,90000,6101.1721
